"Gene","BF"
"CYFIP1",19.233982956909
"DYNC1H1",7.26826322491105
"EP400",7.17523672839284
"UBR4",6.54647013853918
"SRCAP",6.07550902623289
"DOCK4",5.87138977683914
"FBN1",5.57793764423183
"ABCA2",5.43737293193034
"CACNA1D",5.32857030375105
"CHD8",5.2642540070593
"MACF1",4.14209046688031
"PLXNB1",4.11056418384717
"GLG1",4.0002713352474
"KALRN",3.77936877261905
"ACACA",3.31659101876397
"ADAR",3.24635691434236
"ASIC2",3.15675174807399
"HIRA",3.12919986814486
"TRIP12",3.01262068767481
"ITSN1",2.94921650748613
"ANAPC1",2.87339789433678
"SNRNP200",2.78809273363083
"METTL3",2.6406555444954
"DNM3",2.61411011123171
"MYH10",2.60595100128016
"PXDN",2.55360451879644
"TP63",2.51997211390362
"DHX8",2.51955238200659
"DIP2C",2.45097200189181
"INO80",2.40410158657467
"DSCAM",2.38622995497229
"BAZ1A",2.38344547317407
"CLASP2",2.37447910417633
"GABBR2",2.34183639130549
"LTBP3",2.20169832779085
"SMEK1",2.19857567692935
"SLC4A8",2.16091069977282
"VPRBP",2.13275731704921
"CYLD",2.09612957682951
"MYCBP2",2.09060501766396
"VARS2",2.09059215194687
"NOTCH3",2.08244991565557
"ADCY2",2.03010852270085
"HDLBP",2.01278750781167
"ATP4A",2.00694366444816
"SCN1A",1.97591464371662
"CREBBP",1.96367542708444
"AP2B1",1.94815421670312
"TOP3B",1.93169230686873
"PANK1",1.92904585922986
"DOCK3",1.90011889186627
"UPF1",1.88449007974704
"TPR",1.87235230766816
"WHSC1L1",1.82937450804606
"ADCY5",1.82852856590545
"SUPT16H",1.80417506848343
"STAT1",1.80229234509274
"ATP6V1A",1.79850218676641
"TRIM3",1.78486487057859
"KCNN3",1.75126380757918
"NCDN",1.74091048441341
"TNPO1",1.73836575127544
"INSR",1.73712871211073
"NCKAP1",1.73513821088594
"CHD9",1.7081495429443
"CHST1",1.69784843680681
"LRRN4",1.66335234726762
"XKR4",1.65944189769035
"SPTBN2",1.64643524575716
"PTPRS",1.64223472544208
"TBC1D9",1.62932471952678
"LINGO1",1.61583316515813
"CIT",1.61218449372776
"ZNF605",1.59622722907225
"CHD6",1.59231904396067
"LRP1",1.58280512161554
"HECTD1",1.57028614948862
"CHRFAM7A",1.56297599246236
"RHOV",1.56297599246236
"VCP",1.5622864164501
"CHD7",1.56043806483691
"ATP9A",1.55609680958003
"CYFIP2",1.55062743998506
"ZNF768",1.54862005219152
"AMPD2",1.54353742014531
"MYO5A",1.54029841108402
"ZAP70",1.5385311487567
"DDB1",1.52673883285101
"KDM6B",1.52464190800632
"AGAP2",1.50550552163369
"PROX1",1.50536958115101
"UBR5",1.49696620528147
"PCDH10",1.47707001044628
"MEF2C",1.4685804233808
"TUBA4A",1.45864082797001
"VARS",1.45729083658604
"KCNK9",1.4529096925772
"QRICH1",1.44675735738814
"SLC6A1",1.44624585197868
"ADRA2A",1.44516773707539
"TLK2",1.42254578135639
"ZEB2",1.40490133590606
"PLCG1",1.39395698659744
"RPS6KA1",1.38813301926407
"ACTN1",1.37673061081096
"ACTA1",1.37482652737809
"B3GNT1",1.36938549848302
"CSTF3",1.3666624907288
"NSF",1.36593530997971
"ANO8",1.35200457099189
"F12",1.35194743071953
"TAOK1",1.34172950520321
"PDS5B",1.34096301877175
"COL1A1",1.33528440811006
"PNPLA6",1.33415845433161
"CLTC",1.33395308472119
"STAG1",1.32952175953709
"SATB2",1.32952175953709
"NRXN2",1.32227951772773
"GFPT1",1.31983618882935
"TLK1",1.31533223203469
"PDZD8",1.30997700358672
"ZNF777",1.30970730455265
"CAND1",1.30830351852355
"XKR6",1.30034199767189
"SPEN",1.29621927340661
"SCN8A",1.2959310885956
"MIB1",1.29271625105269
"MRC2",1.29173550202312
"GIT1",1.27987090666004
"MAU2",1.27863090746034
"PDE2A",1.27843043919414
"MAP4K1",1.27835199317963
"GNAS",1.27231263024304
"XAB2",1.27025601802697
"ADCY1",1.26689773240713
"TLN1",1.266792842342
"ADAMTSL2",1.26090227843987
"PRDM10",1.26005751286743
"COMP",1.25952176772593
"HK1",1.25854689237994
"CUL3",1.25836918386557
"PRKD2",1.25812596485269
"TCF4",1.25385373766994
"DDX23",1.25127724640667
"ZSCAN10",1.25094251946687
"SOGA3",1.24970966517474
"PPP1R16B",1.24875121206285
"SLC8A2",1.24493738601945
"SLIT1",1.24291950321476
"STAT5B",1.24168799779253
"CNNM2",1.23211190794786
"ATAD2B",1.22974171426874
"TRIM8",1.22941901739909
"DHX30",1.22847612600929
"ZBTB17",1.22625245569749
"SF3B3",1.22529142367106
"EPM2AIP1",1.22492350368634
"BRSK2",1.224720590589
"MAPK8IP3",1.22405162219787
"KCNA3",1.22391888612236
"TRIM24",1.22249076217572
"BAI2",1.2173191482322
"RUVBL2",1.21666423161909
"KAT2A",1.21660139746205
"PI4KB",1.21490265038189
"EZH2",1.21301507499965
"TUBB6",1.21143748407876
"CASR",1.21003206567262
"RBM47",1.20846406792584
"EZH1",1.20825277224603
"SMG1",1.20686940469161
"TUBA1B",1.20214044785485
"NR4A3",1.2020097034724
"AP2A1",1.20068933040229
"EBF1",1.20068933040229
"KCNH3",1.20003462826437
"STT3A",1.19695706653959
"DHX15",1.19439054414607
"TMEM57",1.19283225586706
"SPTBN1",1.1924750047734
"ZNF236",1.18505102031059
"LRRC8A",1.18393743673466
"NR2F1",1.18003047607164
"SF3A1",1.17982127003927
"TRA2B",1.17912546276061
"SUPT5H",1.17790693472741
"PDE8B",1.17763837145469
"IGF2BP1",1.17257073400965
"CFB",1.17148809360228
"CELF2",1.17017868778731
"GDF10",1.1653997634963
"CDC73",1.16205241485764
"MARCH6",1.15902233698815
"RNF20",1.15665351163253
"FBXL18",1.15590133771631
"KCNA6",1.15276848229858
"CDK8",1.15220860125062
"OGDH",1.15145223430642
"LHX5",1.14955382512427
"CHD4",1.14652839075006
"VCPIP1",1.14609647702103
"KDM3B",1.14575531531431
"ARFGEF1",1.140273888914
"PPFIA3",1.13370594412487
"IGSF9B",1.13336312562041
"LMNA",1.13232360152037
"SF3B1",1.13198605794645
"RBM14",1.13175732722372
"ZIC2",1.13175732722372
"SMARCA4",1.13175732722372
"NRF1",1.13175732722372
"LHX2",1.13175732722372
"TUBG1",1.13088933655165
"PCBP1",1.13088933655165
"PPP1R13L",1.1306419347442
"IKZF1",1.1306419347442
"RALGAPA1",1.12992174449756
"KCNV1",1.1289083293209
"CACNG2",1.12866136089341
"PTRF",1.12697483844008
"RBM25",1.12632496435132
"ABR",1.1256495031806
"HSPA8",1.12332989715885
"SRC",1.12332989715885
"CPSF6",1.12222281025146
"DNMT1",1.1204343758606
"SYNGAP1",1.1198555339869
"SRF",1.11964275522158
"THRA",1.11939781380037
"HNRNPH1",1.11846279402907
"ITPR1",1.11241178216757
"ANKRD52",1.11103721743335
"HAS2",1.10676424444421
"CSNK1A1",1.105309848124
"CNTNAP3",1.10458700616561
"IK",1.10183094529424
"WDTC1",1.10023929219942
"PRPF8",1.09993929951169
"XPO1",1.09974358392342
"GRM3",1.09937284624041
"KIF5A",1.09899347567604
"EFTUD2",1.09794603944289
"MAST3",1.09339385157989
"PHIP",1.09298226015653
"SMARCA5",1.09261063775519
"FZD10",1.08903174701774
"ACTN4",1.08897656615992
"KLHL36",1.0885780699876
"TRIM46",1.0878991529393
"PCNXL3",1.08760005054546
"CPEB4",1.08713783725434
"MEX3A",1.08629207677845
"PITPNM1",1.08629207677845
"CUX2",1.08629207677845
"SKOR1",1.08629207677845
"CSK",1.08629207677845
"NACC1",1.08629207677845
"KCNF1",1.08629207677845
"DNMT3A",1.08629207677845
"EEF1A2",1.08629207677845
"GABBR1",1.08629207677845
"MAFB",1.08545895525398
"ADARB1",1.08450687298954
"RSBN1",1.0843085757859
"PLCL2",1.08355752956224
"AP2M1",1.08355752956224
"DDX39B",1.08355752956224
"ARIH1",1.08332048241481
"RARA",1.08332048241481
"CPSF1",1.08329776483315
"PPP1CA",1.08248963992677
"ELAVL1",1.08248963992677
"GTF2I",1.07891647585439
"NAV1",1.07869878164214
"RBM15B",1.07820319563153
"HNRNPK",1.07791534256035
"CAMK2A",1.076314480036
"KCNQ4",1.07282358806524
"CSNK1E",1.07017454690239
"LRRC73",1.06829060500746
"SLC12A6",1.06732171439237
"B3GAT1",1.06691211548139
"KCNQ5",1.06416094519122
"SLCO3A1",1.06382887053906
"SLC7A5",1.06191146517558
"ZBTB45",1.06021324894232
"AP3D1",1.06020609887918
"GP5",1.05961057372222
"ABCE1",1.0562170450997
"SAFB2",1.05536269767314
"FEM1B",1.05492175581221
"MAP4K4",1.05343493932483
"BAI1",1.05306326951333
"SNRK",1.05219960263671
"DLGAP3",1.0518077643808
"SATB1",1.05114845673341
"ZFP64",1.05035529446718
"CTNNA2",1.04899552377351
"CAMSAP3",1.04806400562636
"IPO5",1.04746601820816
"ATP1A3",1.04703046411577
"PIAS1",1.04232200565564
"TM9SF3",1.04185361507938
"RBM14-RBM4",1.04185361507938
"DDN",1.04185361507938
"GNA11",1.04185361507938
"SLC17A7",1.04185361507938
"TBR1",1.04185361507938
"SCO2",1.04185361507938
"PUF60",1.04185361507938
"RTN4RL2",1.04183620630683
"PUM1",1.04152718318313
"BEND3",1.04088570123157
"EEF1A1",1.04002857395631
"PAX6",1.03820672980357
"SAMD4B",1.03519194499855
"SERBP1",1.03409563705025
"HNRNPL",1.03409563705025
"TCHH",1.03368800893047
"KAT7",1.03037120551291
"GTF3C4",1.02695786360392
"CACNG3",1.02459746479973
"ACO2",1.02339312702287
"B4GALNT4",1.02319020065443
"ZNF319",1.02247681946924
"TLE3",1.0209361629095
"MARK2",1.01843917508075
"SSTR1",1.0175612340002
"AHCYL1",1.01098050692847
"INPP4A",1.01096595461803
"MED23",1.01078857132113
"RBM39",1.00929851347552
"HIVEP2",1.00772372681042
"PCSK5",1.00738764924886
"POLR2A",1.00535919566569
"IL6ST",1.00305642730749
"ANXA8L1",1
"MTA1",1
"KHSRP",1
"KCNG3",0.998248274904787
"ZBTB20",0.998248274904787
"NOVA2",0.997264460979541
"TECR",0.996499618350383
"CSNK2A1",0.996499618350383
"GLUD1",0.996038572065737
"HNRNPUL1",0.993851727752654
"NOTCH1",0.993672277253715
"CDK5R1",0.992553677487077
"CNOT3",0.992553677487077
"UBTF",0.991055148150412
"HCN2",0.990814996301877
"PPP2R1A",0.990814996301877
"EIF3I",0.99003855677993
"CUL5",0.988066124955533
"HNRNPU",0.986761374684388
"USP34",0.986287633158893
"PABPC1",0.983708983817571
"SHANK1",0.983437068288773
"PIP5K1C",0.982694491367731
"SPTBN4",0.982338786579981
"TERT",0.982067226346093
"KCNT1",0.980981050967846
"PRKCE",0.980064033598896
"CXXC1",0.978483869787286
"EML5",0.977387527795588
"DNM2",0.977092636619005
"SEC61A1",0.975438002700562
"ATP2B1",0.973866132053356
"WNT8B",0.973348452520456
"CKMT1B",0.970367134399627
"BRPF3",0.964479325031642
"TSC22D2",0.962866308356904
"PPP4C",0.962651537449962
"KCNH5",0.961959878495118
"CARD11",0.961888219358311
"PACS1",0.959502727412024
"LHX1",0.958146384920618
"AHDC1",0.958146384920618
"NBPF15",0.958146384920618
"FBXL14",0.958146384920618
"NR2F2",0.958146384920618
"NLGN2",0.958146384920618
"U2AF2",0.958146384920618
"U2SURP",0.958146384920618
"CHST2",0.958146384920618
"EGR3",0.958146384920618
"PLCB3",0.958037545923967
"PATZ1",0.951949902936784
"SMU1",0.951949902936784
"TUBB4B",0.951949902936784
"KCND3",0.950320469624684
"ATP2B2",0.949390418850328
"ZNRF3",0.948321953916333
"NSD1",0.94797829011038
"TOP1",0.947682813957916
"NIPA1",0.947209032134116
"EBF3",0.944064717737393
"BPTF",0.943320553174008
"MAST4",0.94289588402564
"KDM1A",0.942482856374856
"ATP1A2",0.941614725916076
"HELZ",0.941163136443499
"CADM4",0.937959304089646
"SMC3",0.937959304089646
"SBK1",0.93789538780647
"SF1",0.937530782539825
"PRMT1",0.937447914612408
"POTEE",0.937447914612408
"CDK19",0.937447914612408
"EVX2",0.935805763574927
"EVI5L",0.934235603352548
"SLC12A5",0.93421836896922
"GPR89A",0.93373083946604
"PPP3CB",0.931467624869216
"EGR2",0.929108876503853
"MYT1L",0.9284469800672
"KPNB1",0.927652970676527
"KIF1B",0.927352740055848
"GATA3",0.926295057466686
"KCNJ3",0.925850578248529
"KIF5C",0.925732974767735
"DHX38",0.924951347595611
"EHMT2",0.924721194193261
"CHERP",0.924503901367612
"UNC13A",0.922176317336479
"HCFC2",0.92168517825128
"ATP13A1",0.921353389008498
"MEGF8",0.92116491788283
"TRIM71",0.918887301159083
"XPO4",0.918883116870836
"TFAP2A",0.918265519335297
"STK35",0.917634392052332
"CASKIN1",0.917619747153574
"CNOT6L",0.916436333356147
"YWHAG",0.916436333356147
"ZFHX4",0.916096177939385
"DGKZ",0.915533148398033
"UBE3A",0.915347429393807
"HSPA2",0.915019746349551
"INTS3",0.914625943919387
"ARGLU1",0.914320201246856
"TCF7L2",0.913707923223218
"BCL11B",0.913707923223218
"IRX5",0.913707923223218
"CDC27",0.913707923223218
"SOX9",0.913707923223218
"CBX4",0.913707923223218
"PRR12",0.913707923223218
"SHANK3",0.913707923223218
"FEZF2",0.913707923223218
"GRIN1",0.913707923223218
"CTCF",0.912107358124413
"HOXB8",0.912107358124413
"FZD7",0.912107358124413
"NTNG2",0.912107358124413
"NAGS",0.910881902864996
"SMARCB1",0.906904159344285
"PSPC1",0.906208617701353
"ILF3",0.903714297375294
"FRYL",0.902330584733184
"ADAMTS15",0.899868051490508
"MAP2K7",0.89864107526049
"CENPB",0.89864107526049
"NFIX",0.89396944002602
"ZNF689",0.892947255335257
"DLGAP1",0.891812451631806
"CNOT1",0.891779631199273
"GPHN",0.889592292045026
"AGAP3",0.88823988580754
"HSPA5",0.886847039342723
"GCK",0.885810070940385
"HDAC3",0.883756944498046
"ANKRD17",0.882116028215883
"AUTS2",0.881810966120577
"CHD3",0.880515470408824
"GPR4",0.880081399171577
"SLC32A1",0.879621014019633
"C3orf58",0.879394739792644
"GRM5",0.879240400905546
"DYRK1A",0.878809823475899
"SMARCC2",0.878534261495815
"GNAZ",0.877936612572296
"CUL1",0.876542004763541
"TNPO2",0.875678137274834
"HLA-B",0.875465943509652
"RBM5",0.875249741361833
"OPRD1",0.873949838889949
"LPHN1",0.873844551880918
"HCN1",0.87275820231971
"EDC4",0.871614844059234
"SHH",0.868946941745199
"PLXNA1",0.868828496454249
"SAFB",0.868521400937894
"NBEA",0.867565211596992
"FLNC",0.866023087701628
"MLLT6",0.865604882520914
"TOP2A",0.865160594947969
"STXBP1",0.863388931158625
"DOT1L",0.863327326460758
"SRRT",0.862170835542497
"EIF4A1",0.861029697602015
"ADRBK1",0.858631346859877
"INA",0.858132516536537
"CHD2",0.856329848109313
"KIF1A",0.855687156194048
"ZBTB16",0.855128725222713
"PLCB4",0.853775507356873
"ACTC1",0.851063835528797
"ROCK1",0.850869397199939
"CLASRP",0.849124977501008
"SRCIN1",0.847830881149355
"ZNF536",0.847646894850016
"USP49",0.847312716838539
"FOXB1",0.84666732103094
"AKT1",0.842526133968822
"CTNNA1",0.842059125913426
"CUX1",0.841225201646452
"ARHGAP35",0.839897244541781
"KCNJ4",0.838824528894891
"PDS5A",0.837955960011562
"NOMO1",0.837869592341814
"CORO1A",0.837355138917146
"LRP4",0.836770060222538
"ZER1",0.836644405295446
"ATP2A2",0.83606787543213
"SETDB1",0.833242755036689
"DEF6",0.832249038792566
"TCERG1",0.829620292125555
"FSCN1",0.829461630933608
"JUN",0.827193956851557
"KCNC3",0.826144567716213
"FOXA1",0.823707831571721
"SIN3A",0.821739851129413
"PLXNA4",0.820549168350172
"STAT3",0.81919012590821
"KPNA6",0.817508341518606
"UBAP2L",0.815099765664877
"PRRC2A",0.814604449627462
"NRXN1",0.812602184030579
"ACTA2",0.810170135624645
"VAV1",0.806561839111626
"GALR2",0.804032526046718
"TUBB3",0.80371668994338
"PAK2",0.802308799248165
"NCOR1",0.801532646506825
"BRAF",0.800200883097867
"EEF2",0.799718507947515
"DAGLA",0.799713137731716
"ACLY",0.798854138505051
"CEP170",0.798556885365959
"NYNRIN",0.796912137638447
"PRDM8",0.79218821916304
"DLG4",0.791127650803257
"POGK",0.790377237271447
"ROCK2",0.787931540842666
"CACNA1I",0.787163319067876
"BTAF1",0.787013393810816
"KIF2A",0.786729656829453
"BCR",0.784112463682936
"EIF3D",0.782663025984897
"RICTOR",0.782639799281175
"MAP3K12",0.775962773228001
"EIF3A",0.774256154578927
"GRIN2D",0.774051653984842
"RTF1",0.772726308183226
"GCN1L1",0.771854936735963
"MARK4",0.771196330834946
"KIF3B",0.771172967019712
"TLE4",0.771078996445849
"DHX9",0.770491753218276
"CYP46A1",0.765098024980274
"ASIC1",0.764122478962701
"TMCC2",0.762820178578883
"PSMC5",0.762291222952398
"PIK3CA",0.759426466683594
"NEURL4",0.753135719530379
"AQR",0.753024421775454
"DENND4B",0.752920389859526
"CHD5",0.752403766855313
"ACVR1B",0.750065249707002
"UNK",0.748613634003278
"KDM2A",0.747824422753699
"RAPGEF2",0.746986523686005
"RPTOR",0.746823080760834
"AFF4",0.746420425614932
"MEN1",0.745033880960179
"PSMD1",0.74187826178425
"SCN2A",0.740794133196628
"KCNH2",0.739975321942458
"FZD1",0.733225620890033
"ZMYND11",0.732353430880335
"DHX40",0.73202627870432
"LRRC7",0.730787901328931
"NR4A2",0.729295985608722
"MEIS2",0.728334990617097
"NIPBL",0.727550294751581
"BRSK1",0.727418320459808
"HMGCR",0.72567398347493
"ESPL1",0.723212887696676
"SYMPK",0.722898313652607
"PC",0.720445874684781
"SMARCA2",0.719330665936361
"EML3",0.718969496773633
"CHRNE",0.718412358212138
"PRKCB",0.715154744271354
"HNRNPR",0.709466584948477
"GTPBP2",0.709234930664658
"MTOR",0.707537546575775
"DOPEY1",0.705214201429678
"GRM1",0.704418991197584
"HECW1",0.702458493853617
"CACNA1E",0.700436863739939
"BCL11A",0.699076127466912
"SOBP",0.699076127466912
"CHST8",0.698680489721367
"USP22",0.697413236190116
"BCL9L",0.696585484762012
"ZIC1",0.695868019230131
"ZMYM4",0.695246711492913
"MYH9",0.694855655012899
"STAT5A",0.694245581742265
"CACNA1B",0.692254794548286
"DHH",0.688636282455312
"ARHGAP39",0.687030428226454
"CTNNB1",0.684616399509844
"RERE",0.678696094632795
"BRPF1",0.677184629326396
"USP7",0.676501458784739
"MDC1",0.674979506899397
"GRIK5",0.67288805635484
"MED13L",0.665869554159797
"KCNMA1",0.664864258672672
"GRIN2A",0.664822354173353
"ZMIZ1",0.662750926783797
"ARHGEF2",0.660781515418259
"PIK3CD",0.658177139773712
"SEMA6D",0.658151034991799
"BRD4",0.650152755104115
"ADAMTS5",0.649654031786799
"SUPT6H",0.646962674204798
"KIF21B",0.645648989171417
"NOS1",0.634007071013464
"DAPK1",0.631796735940216
"FMN2",0.628032353804606
"ASH1L",0.626933349586632
"UNC5A",0.624346909027811
"RBM15",0.621591015698111
"TNIK",0.619203957757563
"PPFIA2",0.614183108978679
"KCNB1",0.613764813865062
"SMARCC1",0.613219918516117
"ITPR3",0.605068378574375
"PITPNM2",0.602016783536817
"PRKCG",0.6018423085625
"WNK1",0.599843165836076
"DICER1",0.599116855717623
"DCLK1",0.597393029010341
"COPA",0.597082015636293
"CACNA1G",0.594631879468948
"ELMO1",0.593477373911351
"CAD",0.591517930646729
"POGZ",0.577663442352241
"KSR2",0.575198377209804
"GRIN2B",0.569434770145816
"ADCY3",0.562243533018229
"GTF3C1",0.558542801643293
"CLCN3",0.557722782353853
"HCN4",0.557469263456369
"RASGRF1",0.556632297493142
"KIAA0368",0.55464681057419
"UBE2O",0.541296446851683
"POLR2B",0.525614697889774
"KBTBD6",0.521403853387246
"HERC2",0.518498394681058
"NPR2",0.517312658262897
"KAT8",0.515701647682242
"PCDH17",0.509388032367615
"DROSHA",0.506325623781043
"SETD1A",0.504228186270417
"FRY",0.501709115703156
"NALCN",0.499394977848229
"WDFY3",0.494468809872755
"CAPRIN1",0.493789750349374
"MKLN1",0.483817196930483
"KCNN1",0.483072661772257
"ABCG1",0.471938374824984
"PLXNC1",0.470515924334456
"CACNA1C",0.465905317027942
"BAZ1B",0.453436971686372
"GRIA1",0.444112703109526
"XPO7",0.439197241139403
"ACOT1",0.43702400754854
"EIF4A2",0.435494256732075
"PLXND1",0.434499008651356
"TRIM9",0.434410473437738
"WDR33",0.43175358550364
"TRPC7",0.430807810057151
"KCNA1",0.426834136746671
"ITPR2",0.42309473786139
"PRPF6",0.422981105009556
"SEMA3F",0.419722698558129
"TMEM63B",0.418410062312434
"ATP1A1",0.417882929330342
"SCN5A",0.41782569350125
"APBA1",0.416942072542516
"CADPS",0.415640996085811
"PRR21",0.406677052856012
"CSMD2",0.403311789701925
"PTCHD2",0.402540484439626
"UBC",0.399312298335864
"NOTCH2",0.397910554597576
"ACTL6B",0.396034921782868
"HTRA2",0.395254689679669
"MYH7",0.392176391189097
"SCUBE3",0.387516232436643
"BRD3",0.385665275722407
"ZC3H4",0.382823308188773
"KIAA0100",0.379042020534427
"DVL3",0.363689181717788
"KIAA1468",0.355667377496143
"CNTNAP1",0.331290441140489
"FMNL3",0.329635101653541
"ABCG4",0.329477699608875
"PI4KA",0.325830155635497
"MYO18A",0.313897408831087
"NF1",0.312327996205495
"C3",0.309980367647059
"CLIP3",0.307792918188554
"SCN3A",0.302533883451001
"DDX46",0.300502913338713
"MORC2",0.288897628277345
"TRRAP",0.282877076663546
"MED12L",0.267357391432523
"SPEG",0.25321929389599
"JAK1",0.246163877908643
"HIC1",0.245463475811562
"TRIO",0.244806470902143
"DSCAML1",0.243267805936461
"HERC1",0.237507072469369
"ZNF462",0.234401150101832
"TSC1",0.228190449071038
"SPTAN1",0.224989149120761
"PPP2R2C",0.22474301361164
"TRPM3",0.222474769270218
"ARHGEF7",0.212803117882057
"IPO7",0.208453177282798
"TAOK2",0.203988122197917
"HTT",0.202588622417373
"DHX16",0.196709166352099
"NOA1",0.194967373699943
"PRDM15",0.194039155707944
"SLC4A10",0.187668149310182
"KIAA1109",0.173171737541305
"BRD1",0.165739488556533
"KLHL11",0.161523172677464
"RYR2",0.153700251524111
"ZNF835",0.139267911983737
"KDM2B",0.138130968084118
"BIRC6",0.111168290248228
"CTR9",0.103062461907348
"SIN3B",0.0962641410979494
"RYR1",0.0891163040287137
"PTGER3",0.0816827987265552
"ASAH2",0.0771405496172742
"SZT2",0.0713562439120296
"ABCC5",0.0606891460099283
"DDX41",0.0412574540304938
"LCT",0.0401171184481152
"CELSR3",0.0231656438254526
"LPA",0.00110405609884952
